pair;round;nrTurns;success
0;0;7;false
0;1;7;false
0;2;7;true
0;3;1;true
0;4;1;false
0;5;1;false
1;0;7;false
1;1;2;true
1;2;1;true
1;3;1;true
1;4;1;true
1;5;1;true
2;0;7;false
2;1;7;false
2;2;1;true
2;3;1;true
2;4;2;true
2;5;1;true
3;0;7;true
3;1;7;false
3;2;7;false
3;3;1;false
3;4;1;false
3;5;1;true
4;0;7;false
4;1;7;true
4;2;7;false
4;3;1;false
4;4;1;true
4;5;1;true
5;0;7;false
5;1;5;true
5;2;1;true
5;3;1;true
5;4;1;true
5;5;1;true
6;0;7;true
6;1;7;false
6;2;7;true
6;3;1;false
6;4;1;false
6;5;1;true
7;0;7;false
7;1;7;false
7;2;7;true
7;3;1;true
7;4;1;true
7;5;1;false
8;0;7;false
8;1;7;true
8;2;7;true
8;3;1;true
8;4;1;false
8;5;1;true
9;0;6;false
9;1;7;false
9;2;7;false
9;3;3;false
9;4;1;false
9;5;1;false
10;0;7;true
10;1;3;true
10;2;1;true
10;3;1;false
10;4;1;true
10;5;7;true
11;0;7;false
11;1;7;false
11;2;7;true
11;3;1;true
11;4;1;false
11;5;1;false
12;0;7;false
12;1;7;false
12;2;6;true
12;3;1;true
12;4;2;false
12;5;1;false
13;0;4;false
13;1;7;true
13;2;7;true
13;3;4;false
13;4;1;false
13;5;1;false
14;0;7;false
14;1;3;true
14;2;7;true
14;3;5;false
14;4;1;false
14;5;1;false
15;0;7;false
15;1;7;false
15;2;7;false
15;3;1;false
15;4;1;true
15;5;1;false
16;0;7;false
16;1;7;false
16;2;7;false
16;3;1;false
16;4;1;false
16;5;1;true
17;0;7;true
17;1;7;false
17;2;7;true
17;3;1;false
17;4;1;false
17;5;1;false
18;0;6;true
18;1;1;false
18;2;1;false
18;3;7;true
18;4;7;false
18;5;2;false
19;0;7;false
19;1;7;true
19;2;7;true
19;3;1;true
19;4;1;false
19;5;1;true
20;0;7;false
20;1;7;true
20;2;7;false
20;3;1;false
20;4;1;true
20;5;1;false
21;0;7;false
21;1;7;false
21;2;7;true
21;3;1;false
21;4;1;false
21;5;1;false
22;0;7;false
22;1;1;true
22;2;3;true
22;3;1;false
22;4;1;true
22;5;1;true
23;0;7;true
23;1;1;true
23;2;2;false
23;3;1;true
23;4;1;false
23;5;1;true
24;0;5;true
24;1;1;true
24;2;7;false
24;3;7;false
24;4;3;false
24;5;1;true
25;0;7;true
25;1;5;true
25;2;7;false
25;3;3;true
25;4;1;true
25;5;1;false
26;0;7;true
26;1;4;true
26;2;7;false
26;3;4;true
26;4;1;true
26;5;1;true
27;0;7;false
27;1;7;false
27;2;7;true
27;3;1;true
27;4;1;false
27;5;1;true
28;0;7;true
28;1;7;false
28;2;7;false
28;3;1;false
28;4;1;true
28;5;1;false
29;0;4;true
29;1;7;false
29;2;7;false
29;3;4;true
29;4;1;false
29;5;1;false
30;0;7;true
30;1;7;false
30;2;7;true
30;3;1;true
30;4;1;true
30;5;1;false
31;0;7;false
31;1;7;false
31;2;7;false
31;3;1;false
31;4;1;true
31;5;1;true
32;0;7;true
32;1;7;true
32;2;2;true
32;3;6;false
32;4;1;false
32;5;1;true
33;0;7;true
33;1;1;true
33;2;5;true
33;3;7;false
33;4;3;false
33;5;1;false
34;0;7;false
34;1;7;true
34;2;7;true
34;3;1;true
34;4;1;false
34;5;1;false
35;0;7;false
35;1;7;false
35;2;7;true
35;3;1;true
35;4;1;false
35;5;1;false
36;0;7;false
36;1;7;false
36;2;7;true
36;3;1;false
36;4;1;false
36;5;1;false
37;0;7;true
37;1;3;true
37;2;7;false
37;3;7;true
37;4;3;false
37;5;1;false
38;0;7;true
38;1;7;false
38;2;7;false
38;3;1;false
38;4;1;false
38;5;1;true
39;0;6;true
39;1;7;false
39;2;7;true
39;3;2;true
39;4;1;false
39;5;1;false
40;0;7;false
40;1;7;false
40;2;7;false
40;3;1;false
40;4;1;false
40;5;1;false
41;0;7;true
41;1;1;true
41;2;1;true
41;3;1;true
41;4;3;false
41;5;1;true
42;0;7;true
42;1;1;true
42;2;1;true
42;3;1;true
42;4;1;true
42;5;1;true
43;0;7;false
43;1;7;false
43;2;7;true
43;3;1;true
43;4;1;true
43;5;1;true
44;0;7;false
44;1;7;false
44;2;7;false
44;3;1;false
44;4;1;true
44;5;1;true
45;0;6;true
45;1;7;false
45;2;7;false
45;3;2;false
45;4;1;true
45;5;1;false
46;0;7;false
46;1;7;true
46;2;7;false
46;3;1;false
46;4;1;true
46;5;1;true
47;0;7;false
47;1;2;false
47;2;1;true
47;3;1;true
47;4;7;false
47;5;6;true
48;0;5;true
48;1;1;true
48;2;1;true
48;3;3;true
48;4;1;true
48;5;1;true
49;0;7;false
49;1;7;false
49;2;7;false
49;3;1;true
49;4;1;false
49;5;1;false
50;0;7;false
50;1;2;true
50;2;7;true
50;3;6;false
50;4;1;false
50;5;1;true
51;0;7;false
51;1;7;true
51;2;7;true
51;3;1;false
51;4;1;false
51;5;1;false
52;0;7;false
52;1;4;true
52;2;1;false
52;3;7;true
52;4;4;false
52;5;1;false
53;0;7;true
53;1;7;false
53;2;1;true
53;3;1;true
53;4;7;false
53;5;2;true
54;0;7;true
54;1;7;false
54;2;7;true
54;3;1;true
54;4;1;false
54;5;1;true
55;0;7;true
55;1;4;true
55;2;7;false
55;3;4;false
55;4;1;false
55;5;1;false
56;0;7;true
56;1;2;true
56;2;2;true
56;3;1;true
56;4;7;true
56;5;5;false
57;0;7;false
57;1;7;true
57;2;7;false
57;3;1;false
57;4;1;true
57;5;1;false
58;0;7;true
58;1;7;true
58;2;7;false
58;3;1;false
58;4;1;true
58;5;1;false
59;0;7;true
59;1;7;false
59;2;7;false
59;3;1;true
59;4;1;true
59;5;1;false
60;0;7;false
60;1;7;false
60;2;7;true
60;3;1;false
60;4;1;true
60;5;1;true
61;0;6;false
61;1;7;true
61;2;7;false
61;3;2;false
61;4;1;true
61;5;1;false
62;0;7;false
62;1;7;true
62;2;7;false
62;3;1;true
62;4;1;false
62;5;1;false
63;0;7;false
63;1;7;false
63;2;7;true
63;3;2;false
63;4;1;false
63;5;1;false
64;0;7;false
64;1;7;false
64;2;7;false
64;3;1;true
64;4;1;false
64;5;1;false
65;0;4;true
65;1;5;false
65;2;1;false
65;3;2;true
65;4;7;false
65;5;5;false
66;0;7;false
66;1;7;false
66;2;7;false
66;3;1;true
66;4;1;true
66;5;1;false
67;0;7;false
67;1;7;false
67;2;7;false
67;3;1;true
67;4;1;false
67;5;1;false
68;0;7;true
68;1;5;false
68;2;7;true
68;3;3;false
68;4;1;false
68;5;1;false
69;0;7;false
69;1;7;true
69;2;7;true
69;3;4;true
69;4;1;false
69;5;1;true
70;0;4;true
70;1;7;true
70;2;7;false
70;3;4;true
70;4;1;true
70;5;1;false
71;0;7;true
71;1;7;true
71;2;7;true
71;3;6;true
71;4;1;false
71;5;1;false
72;0;7;false
72;1;2;true
72;2;2;false
72;3;3;true
72;4;7;false
72;5;3;true
73;0;4;true
73;1;7;false
73;2;7;true
73;3;4;false
73;4;1;true
73;5;1;false
74;0;5;true
74;1;2;true
74;2;1;true
74;3;7;false
74;4;7;false
74;5;2;true
75;0;4;true
75;1;1;true
75;2;1;true
75;3;1;true
75;4;1;false
75;5;1;true
76;0;7;false
76;1;7;false
76;2;7;false
76;3;1;false
76;4;1;false
76;5;1;false
77;0;7;true
77;1;1;true
77;2;2;false
77;3;2;false
77;4;3;false
77;5;4;false
78;0;6;true
78;1;1;true
78;2;1;true
78;3;7;false
78;4;7;true
78;5;4;true
79;0;7;true
79;1;3;true
79;2;1;true
79;3;1;true
79;4;1;true
79;5;1;true
80;0;7;false
80;1;7;false
80;2;7;true
80;3;1;false
80;4;1;false
80;5;1;false
81;0;7;true
81;1;2;true
81;2;1;true
81;3;7;false
81;4;6;false
81;5;1;true
82;0;7;true
82;1;7;true
82;2;1;true
82;3;1;true
82;4;7;true
82;5;1;true
83;0;7;false
83;1;7;true
83;2;7;false
83;3;1;false
83;4;1;false
83;5;1;false
84;0;7;true
84;1;6;false
84;2;7;false
84;3;2;false
84;4;1;true
84;5;1;true
85;0;7;false
85;1;7;true
85;2;2;false
85;3;6;true
85;4;1;true
85;5;2;false
86;0;4;true
86;1;1;true
86;2;7;false
86;3;6;true
86;4;5;false
86;5;1;true
87;0;7;false
87;1;7;false
87;2;7;true
87;3;1;true
87;4;1;false
87;5;1;true
88;0;7;true
88;1;7;false
88;2;2;true
88;3;6;true
88;4;1;false
88;5;1;false
89;0;7;false
89;1;7;true
89;2;7;true
89;3;1;true
89;4;1;true
89;5;1;false
90;0;7;true
90;1;7;false
90;2;7;false
90;3;4;false
90;4;1;true
90;5;1;false
91;0;7;false
91;1;7;true
91;2;7;false
91;3;1;true
91;4;1;false
91;5;1;false
92;0;7;false
92;1;7;true
92;2;7;false
92;3;2;true
92;4;1;true
92;5;1;false
93;0;7;false
93;1;7;false
93;2;7;true
93;3;2;false
93;4;1;false
93;5;1;false
94;0;7;true
94;1;7;true
94;2;7;false
94;3;1;false
94;4;1;false
94;5;1;false
95;0;7;false
95;1;7;false
95;2;7;false
95;3;1;true
95;4;1;true
95;5;1;false
96;0;7;true
96;1;7;true
96;2;7;false
96;3;6;false
96;4;1;false
96;5;1;false
97;0;7;true
97;1;4;true
97;2;1;true
97;3;7;false
97;4;4;true
97;5;1;false
98;0;7;true
98;1;1;false
98;2;7;true
98;3;7;false
98;4;4;true
98;5;1;true
99;0;4;true
99;1;7;true
99;2;7;false
99;3;4;true
99;4;1;true
99;5;1;false
100;0;7;false
100;1;7;false
100;2;7;true
100;3;1;true
100;4;1;true
100;5;1;false
101;0;7;true
101;1;4;true
101;2;1;true
101;3;7;true
101;4;4;true
101;5;1;false
102;0;7;true
102;1;7;false
102;2;7;false
102;3;1;true
102;4;1;true
102;5;1;true
103;0;4;true
103;1;3;true
103;2;7;false
103;3;6;true
103;4;3;true
103;5;1;false
104;0;7;false
104;1;7;false
104;2;7;false
104;3;1;false
104;4;1;false
104;5;1;false
105;0;7;true
105;1;7;true
105;2;7;false
105;3;1;true
105;4;1;true
105;5;1;false
106;0;7;true
106;1;3;true
106;2;1;true
106;3;1;true
106;4;1;true
106;5;1;true
107;0;7;true
107;1;7;true
107;2;7;false
107;3;2;false
107;4;1;false
107;5;1;false
108;0;7;false
108;1;7;false
108;2;7;false
108;3;1;false
108;4;1;true
108;5;1;false
109;0;7;true
109;1;7;false
109;2;7;false
109;3;1;true
109;4;1;true
109;5;1;true
110;0;7;true
110;1;7;true
110;2;7;true
110;3;1;false
110;4;1;true
110;5;1;true
111;0;7;false
111;1;7;false
111;2;7;false
111;3;1;true
111;4;1;false
111;5;1;false
112;0;7;false
112;1;7;false
112;2;6;true
112;3;1;true
112;4;4;false
112;5;1;false
113;0;7;false
113;1;7;false
113;2;7;false
113;3;1;false
113;4;1;false
113;5;1;true
114;0;7;true
114;1;7;false
114;2;7;false
114;3;1;true
114;4;1;true
114;5;1;true
115;0;7;true
115;1;7;false
115;2;7;true
115;3;1;false
115;4;1;false
115;5;1;true
116;0;7;true
116;1;7;false
116;2;7;false
116;3;1;true
116;4;1;false
116;5;1;false
117;0;7;true
117;1;1;true
117;2;1;false
117;3;1;false
117;4;1;true
117;5;2;false
118;0;7;false
118;1;3;true
118;2;1;true
118;3;1;true
118;4;7;false
118;5;7;true
119;0;7;true
119;1;7;false
119;2;7;true
119;3;1;false
119;4;1;false
119;5;1;false
120;0;6;true
120;1;7;false
120;2;7;false
120;3;2;false
120;4;1;true
120;5;1;false
121;0;4;true
121;1;6;false
121;2;1;false
121;3;1;true
121;4;1;false
121;5;1;false
122;0;7;false
122;1;7;false
122;2;7;false
122;3;1;false
122;4;1;false
122;5;1;false
123;0;7;false
123;1;7;true
123;2;7;true
123;3;2;false
123;4;2;true
123;5;1;false
124;0;6;false
124;1;1;true
124;2;1;true
124;3;1;true
124;4;1;true
124;5;1;true
125;0;7;false
125;1;7;true
125;2;7;false
125;3;1;true
125;4;1;true
125;5;1;false
126;0;7;true
126;1;7;true
126;2;7;true
126;3;1;false
126;4;1;false
126;5;1;false
127;0;5;true
127;1;7;true
127;2;7;false
127;3;3;true
127;4;1;false
127;5;1;false
128;0;7;true
128;1;7;false
128;2;7;false
128;3;1;false
128;4;1;false
128;5;1;true
129;0;7;false
129;1;2;true
129;2;1;true
129;3;7;false
129;4;6;false
129;5;1;false
130;0;5;false
130;1;1;true
130;2;1;true
130;3;1;true
130;4;1;true
130;5;1;true
131;0;4;true
131;1;7;false
131;2;7;false
131;3;4;false
131;4;1;false
131;5;1;true
132;0;7;true
132;1;7;false
132;2;7;false
132;3;1;false
132;4;1;false
132;5;1;false
133;0;7;false
133;1;4;true
133;2;7;true
133;3;4;false
133;4;1;false
133;5;1;true
134;0;7;true
134;1;7;true
134;2;7;false
134;3;1;false
134;4;1;true
134;5;1;false
135;0;7;true
135;1;7;true
135;2;7;false
135;3;1;true
135;4;1;false
135;5;1;false
136;0;7;false
136;1;7;false
136;2;7;false
136;3;1;true
136;4;1;true
136;5;1;false
137;0;7;true
137;1;5;true
137;2;1;true
137;3;2;true
137;4;7;true
137;5;2;false
138;0;6;true
138;1;7;false
138;2;7;false
138;3;2;false
138;4;1;true
138;5;1;false
139;0;5;false
139;1;1;true
139;2;7;false
139;3;5;true
139;4;5;false
139;5;1;false
140;0;7;false
140;1;7;true
140;2;3;true
140;3;5;false
140;4;1;false
140;5;1;true
141;0;7;true
141;1;7;true
141;2;7;false
141;3;1;false
141;4;1;false
141;5;1;false
142;0;4;true
142;1;1;false
142;2;7;false
142;3;1;true
142;4;1;true
142;5;1;true
143;0;7;false
143;1;7;false
143;2;5;true
143;3;1;true
143;4;3;true
143;5;1;false
144;0;6;false
144;1;3;true
144;2;1;false
144;3;3;false
144;4;1;true
144;5;1;true
145;0;7;false
145;1;7;true
145;2;7;false
145;3;1;false
145;4;1;false
145;5;1;false
146;0;7;true
146;1;1;true
146;2;7;true
146;3;7;false
146;4;1;false
146;5;1;true
147;0;4;true
147;1;1;true
147;2;1;true
147;3;1;true
147;4;1;true
147;5;1;true
148;0;7;false
148;1;7;false
148;2;7;false
148;3;1;false
148;4;1;true
148;5;1;false
149;0;7;true
149;1;7;false
149;2;7;true
149;3;1;false
149;4;1;false
149;5;1;false
150;0;7;true
150;1;7;true
150;2;7;false
150;3;1;false
150;4;1;false
150;5;1;false
151;0;7;false
151;1;7;false
151;2;1;true
151;3;1;true
151;4;7;false
151;5;1;true
152;0;7;true
152;1;7;false
152;2;7;true
152;3;1;true
152;4;1;false
152;5;1;false
153;0;7;true
153;1;7;false
153;2;7;false
153;3;1;true
153;4;1;false
153;5;1;false
154;0;7;false
154;1;7;true
154;2;4;true
154;3;5;false
154;4;1;false
154;5;1;false
155;0;7;false
155;1;7;false
155;2;7;false
155;3;1;true
155;4;1;true
155;5;1;true
156;0;7;false
156;1;7;false
156;2;7;false
156;3;1;true
156;4;1;false
156;5;1;false
157;0;7;true
157;1;1;true
157;2;1;true
157;3;6;false
157;4;7;true
157;5;2;true
158;0;7;true
158;1;3;true
158;2;1;true
158;3;1;true
158;4;1;true
158;5;1;true
159;0;7;true
159;1;7;false
159;2;7;false
159;3;1;false
159;4;1;true
159;5;1;true
160;0;7;false
160;1;7;false
160;2;7;false
160;3;7;true
160;4;7;true
160;5;3;false
161;0;7;true
161;1;7;true
161;2;7;false
161;3;1;true
161;4;1;true
161;5;1;false
162;0;7;true
162;1;7;true
162;2;7;true
162;3;1;true
162;4;1;true
162;5;1;false
163;0;7;true
163;1;7;false
163;2;7;true
163;3;1;true
163;4;1;true
163;5;1;false
164;0;7;true
164;1;7;true
164;2;7;false
164;3;1;false
164;4;1;false
164;5;1;false
165;0;7;true
165;1;7;true
165;2;7;false
165;3;1;false
165;4;1;true
165;5;1;false
166;0;7;false
166;1;7;false
166;2;7;false
166;3;1;true
166;4;1;false
166;5;1;true
167;0;4;true
167;1;1;true
167;2;1;true
167;3;1;true
167;4;1;true
167;5;1;true
168;0;5;true
168;1;2;true
168;2;7;true
168;3;7;false
168;4;2;false
168;5;1;true
169;0;7;false
169;1;7;true
169;2;7;false
169;3;1;true
169;4;1;false
169;5;1;true
170;0;7;false
170;1;7;true
170;2;7;false
170;3;7;true
170;4;1;false
170;5;1;true
171;0;7;false
171;1;7;false
171;2;7;true
171;3;1;false
171;4;1;false
171;5;1;false
172;0;7;true
172;1;7;true
172;2;7;false
172;3;1;true
172;4;1;false
172;5;1;false
173;0;7;false
173;1;1;true
173;2;1;true
173;3;3;true
173;4;1;true
173;5;1;true
174;0;7;true
174;1;7;false
174;2;7;true
174;3;1;true
174;4;1;true
174;5;1;false
175;0;7;true
175;1;7;false
175;2;7;false
175;3;1;true
175;4;1;true
175;5;1;true
176;0;6;true
176;1;7;false
176;2;7;false
176;3;2;false
176;4;1;false
176;5;1;false
177;0;6;true
177;1;1;true
177;2;1;true
177;3;3;true
177;4;7;false
177;5;6;true
178;0;7;false
178;1;7;false
178;2;7;true
178;3;1;false
178;4;1;false
178;5;1;false
179;0;6;true
179;1;7;true
179;2;7;false
179;3;2;false
179;4;1;true
179;5;1;false
180;0;7;true
180;1;7;false
180;2;7;false
180;3;1;true
180;4;1;false
180;5;1;false
181;0;7;false
181;1;7;true
181;2;7;false
181;3;1;true
181;4;1;false
181;5;1;true
182;0;7;false
182;1;7;false
182;2;7;false
182;3;1;false
182;4;1;true
182;5;1;false
183;0;7;true
183;1;7;true
183;2;7;false
183;3;1;true
183;4;1;true
183;5;1;false
184;0;7;true
184;1;7;false
184;2;7;true
184;3;1;true
184;4;1;false
184;5;1;true
185;0;7;true
185;1;2;false
185;2;1;false
185;3;1;true
185;4;1;false
185;5;3;true
186;0;7;false
186;1;7;false
186;2;7;false
186;3;1;false
186;4;1;false
186;5;1;true
187;0;6;true
187;1;1;true
187;2;7;true
187;3;1;true
187;4;1;true
187;5;5;true
188;0;7;false
188;1;7;false
188;2;7;false
188;3;1;true
188;4;1;false
188;5;1;false
189;0;5;false
189;1;1;true
189;2;1;false
189;3;4;true
189;4;1;true
189;5;3;true
190;0;7;false
190;1;7;true
190;2;7;false
190;3;1;false
190;4;1;false
190;5;1;false
191;0;7;true
191;1;7;true
191;2;7;false
191;3;1;false
191;4;1;true
191;5;1;false
192;0;7;true
192;1;2;true
192;2;7;false
192;3;3;true
192;4;4;true
192;5;1;false
193;0;7;false
193;1;7;false
193;2;7;true
193;3;1;false
193;4;1;false
193;5;1;true
194;0;7;false
194;1;7;false
194;2;7;false
194;3;1;false
194;4;1;true
194;5;1;false
195;0;7;false
195;1;7;false
195;2;6;true
195;3;1;true
195;4;2;false
195;5;1;false
196;0;7;false
196;1;7;false
196;2;7;true
196;3;1;false
196;4;1;false
196;5;1;false
197;0;7;true
197;1;7;false
197;2;1;false
197;3;7;true
197;4;1;true
197;5;1;false
198;0;7;false
198;1;7;true
198;2;7;false
198;3;2;false
198;4;1;true
198;5;1;false
199;0;7;false
199;1;7;false
199;2;7;false
199;3;1;true
199;4;1;true
199;5;1;true
200;0;7;true
200;1;7;false
200;2;7;false
200;3;1;false
200;4;1;false
200;5;1;false
201;0;7;true
201;1;7;true
201;2;7;true
201;3;1;true
201;4;1;false
201;5;1;true
202;0;7;false
202;1;7;false
202;2;7;false
202;3;1;false
202;4;1;false
202;5;1;true
203;0;7;true
203;1;7;false
203;2;7;true
203;3;1;false
203;4;1;false
203;5;1;true
204;0;7;true
204;1;7;false
204;2;7;true
204;3;1;false
204;4;1;false
204;5;1;false
205;0;7;true
205;1;3;true
205;2;7;false
205;3;5;false
205;4;1;false
205;5;1;false
206;0;7;true
206;1;7;false
206;2;7;true
206;3;1;false
206;4;1;false
206;5;1;false
207;0;7;true
207;1;5;true
207;2;2;true
207;3;7;false
207;4;2;false
207;5;1;false
208;0;7;false
208;1;1;true
208;2;7;false
208;3;7;false
208;4;1;true
208;5;1;true
209;0;4;true
209;1;1;true
209;2;1;false
209;3;1;true
209;4;1;true
209;5;1;true
210;0;7;false
210;1;7;true
210;2;7;false
210;3;1;true
210;4;1;false
210;5;1;false
211;0;7;false
211;1;7;true
211;2;7;false
211;3;1;false
211;4;1;false
211;5;1;true
212;0;7;true
212;1;7;false
212;2;7;true
212;3;1;false
212;4;1;false
212;5;1;false
213;0;7;false
213;1;4;false
213;2;7;true
213;3;2;true
213;4;1;true
213;5;1;true
214;0;7;false
214;1;7;false
214;2;7;false
214;3;1;false
214;4;1;true
214;5;1;false
215;0;7;false
215;1;7;false
215;2;7;true
215;3;1;false
215;4;1;false
215;5;1;false
216;0;7;false
216;1;7;false
216;2;1;true
216;3;1;true
216;4;1;true
216;5;7;false
217;0;7;false
217;1;7;true
217;2;7;false
217;3;1;true
217;4;1;false
217;5;1;false
218;0;5;true
218;1;1;true
218;2;1;true
218;3;7;false
218;4;7;false
218;5;3;false
219;0;5;true
219;1;7;true
219;2;1;false
219;3;1;true
219;4;1;true
219;5;1;true
220;0;7;false
220;1;5;false
220;2;7;true
220;3;3;true
220;4;1;true
220;5;1;false
221;0;4;true
221;1;7;false
221;2;7;false
221;3;4;true
221;4;1;false
221;5;1;false
222;0;7;false
222;1;7;false
222;2;7;true
222;3;1;false
222;4;1;false
222;5;1;false
223;0;7;true
223;1;1;true
223;2;7;false
223;3;7;false
223;4;1;false
223;5;1;true
224;0;7;true
224;1;1;true
224;2;7;true
224;3;7;true
224;4;4;false
224;5;1;false
225;0;7;true
225;1;7;false
225;2;7;false
225;3;7;true
225;4;2;true
225;5;1;false
226;0;4;true
226;1;1;false
226;2;7;false
226;3;7;false
226;4;4;true
226;5;1;false
227;0;7;true
227;1;4;false
227;2;1;true
227;3;7;false
227;4;4;false
227;5;1;false
228;0;7;true
228;1;7;true
228;2;7;true
228;3;2;false
228;4;2;false
228;5;1;false
229;0;7;false
229;1;7;false
229;2;7;true
229;3;1;false
229;4;1;false
229;5;1;false
230;0;7;false
230;1;7;true
230;2;7;true
230;3;1;false
230;4;1;false
230;5;1;false
231;0;7;true
231;1;2;true
231;2;7;false
231;3;6;false
231;4;1;false
231;5;1;false
232;0;7;false
232;1;7;false
232;2;7;false
232;3;1;false
232;4;1;false
232;5;1;false
233;0;7;false
233;1;7;false
233;2;7;true
233;3;1;false
233;4;1;false
233;5;1;false
234;0;7;false
234;1;7;false
234;2;7;false
234;3;1;false
234;4;1;false
234;5;1;false
235;0;7;true
235;1;7;false
235;2;7;true
235;3;1;true
235;4;1;false
235;5;1;false
236;0;5;true
236;1;7;false
236;2;7;false
236;3;3;false
236;4;1;false
236;5;1;false
237;0;7;false
237;1;7;false
237;2;7;false
237;3;1;false
237;4;1;true
237;5;1;false
238;0;7;true
238;1;7;true
238;2;7;true
238;3;1;false
238;4;1;true
238;5;1;true
239;0;7;true
239;1;2;false
239;2;5;true
239;3;7;false
239;4;3;true
239;5;1;true
240;0;7;false
240;1;7;false
240;2;7;true
240;3;1;true
240;4;1;false
240;5;1;false
241;0;7;false
241;1;1;true
241;2;1;false
241;3;2;false
241;4;2;false
241;5;1;true
242;0;7;true
242;1;7;false
242;2;5;true
242;3;1;true
242;4;1;true
242;5;4;true
243;0;7;false
243;1;7;true
243;2;7;true
243;3;1;true
243;4;1;true
243;5;1;false
244;0;7;false
244;1;1;true
244;2;1;true
244;3;2;true
244;4;2;true
244;5;1;true
245;0;7;true
245;1;7;true
245;2;4;true
245;3;4;true
245;4;1;true
245;5;1;false
246;0;7;false
246;1;3;true
246;2;7;true
246;3;5;true
246;4;1;false
246;5;1;true
247;0;7;true
247;1;7;true
247;2;7;false
247;3;1;true
247;4;1;false
247;5;1;false
248;0;7;false
248;1;2;true
248;2;1;true
248;3;1;true
248;4;7;true
248;5;6;true
249;0;7;false
249;1;7;false
249;2;7;false
249;3;1;false
249;4;1;false
249;5;1;true
250;0;7;true
250;1;7;true
250;2;7;false
250;3;1;false
250;4;1;false
250;5;1;false
251;0;7;false
251;1;7;true
251;2;7;false
251;3;1;false
251;4;1;false
251;5;1;false
252;0;7;false
252;1;5;true
252;2;1;true
252;3;1;true
252;4;7;false
252;5;3;false
253;0;7;false
253;1;7;false
253;2;7;false
253;3;1;true
253;4;1;false
253;5;1;false
